Bout Information,Draw,No Contest,Round Finished,Method,Details,Fighter1,Fighter2,Loser,Winner,Loser Knockdowns,Loser Attempted Takedowns,Loser Takedowns Succeed,Loser Takedown Success Percentage,Loser Submission Attempts,Loser Guard Passages,Loser Reversals,Loser Attempted Significant Strikes,Loser Landed Significant Strikes,Loser Significant Landed Strikes Percentage,Loser Head Attempted Significant Strikes,Loser Head Landed Significant Strikes,Loser Head Landed Significant Strikes Percentage,Loser Body Attempted Significant Strikes,Loser Body Landed Significant Strikes,Loser Body Landed Significant Strikes Percentage,Loser Leg Attempted Significant Strikes,Loser Leg Landed Significant Strikes,Loser Leg Landed Significant Strikes Percentage,Loser At Distance Attempted Significant Strikes,Loser At Distance Landed Significant Strikes,Loser At Distance Landed Significant Strikes Percentage,Loser On Ground Attempted Significant Strikes,Loser On Ground Landed Significant Strikes,Loser On Ground Landed Significant Strikes Percentage,Loser In Clinch Attempted Significant Strikes,Loser In Clinch Landed Significant Strikes,Loser In Clinch Landed Significant Strikes Percentage,Winner Knockdowns,Winner Attempted Takedowns,Winner Takedowns Succeed,Winner Takedown Success Percentage,Winner Submission Attempts,Winner Guard Passages,Winner Reversals,Winner Attempted Significant Strikes,Winner Landed Significant Strikes,Winner Significant Landed Strikes Percentage,Winner Head Attempted Significant Strikes,Winner Head Landed Significant Strikes,Winner Head Landed Significant Strikes Percentage,Winner Body Attempted Significant Strikes,Winner Body Landed Significant Strikes,Winner Body Landed Significant Strikes Percentage,Winner Leg Attempted Significant Strikes,Winner Leg Landed Significant Strikes,Winner Leg Landed Significant Strikes Percentage,Winner At Distance Attempted Significant Strikes,Winner At Distance Landed Significant Strikes,Winner At Distance Landed Significant Strikes Percentage,Winner On Ground Attempted Significant Strikes,Winner On Ground Landed Significant Strikes,Winner On Ground Landed Significant Strikes Percentage,Winner In Clinch Attempted Significant Strikes,Winner In Clinch Landed Significant Strikes,Winner In Clinch Landed Significant Strikes Percentage
Light Heavyweight Bout,False,False, 1, KO/TKO, Punches to Head In Clinch, Rogerio Nogueira, Patrick Cummins, Patrick Cummins, Rogerio Nogueira,0,0,2,0,0,0,0,36,12,33,25,6,24.0,2,0,0.0,9,6,67.0,33,12,37.0,3,0,0.0,0,0,0,1,0,0,0,0,0,0,58,30,51,55,30,55.0,3,0,0.0,0,0,0,50,23,46.0,3,2,67.0,5,5,100.0
Welterweight Bout,True,False, 3, Decision - Split,, Sergio Moraes, Luan Chagas,,,0,0,4,0,1,5,0,54,28,51,44,21,48.0,8,5,63.0,2,2,100.0,43,19,45.0,4,3,75.0,7,6,86.0,1,0,1,0,0,1,1,115,46,40,82,23,29.0,19,10,53.0,14,13,93.0,107,42,40.0,2,2,100.0,6,2,34.0
Welterweight Bout,True,False, 3, Decision - Split,, Sergio Moraes, Luan Chagas,,,0,0,4,0,1,5,0,54,28,51,44,21,48.0,8,5,63.0,2,2,100.0,43,19,45.0,4,3,75.0,7,6,86.0,1,0,1,0,0,1,1,115,46,40,82,23,29.0,19,10,53.0,14,13,93.0,107,42,40.0,2,2,100.0,6,2,34.0
Featherweight Bout,False,False, 3, Decision - Split,, Renato Moicano, Zubaira Tukhugov, Zubaira Tukhugov, Renato Moicano,0,3,8,37,0,0,0,112,29,25,100,24,24.0,12,5,42.0,0,0,0,106,26,25.0,1,0,0.0,5,3,60.0,0,0,0,0,0,1,0,129,44,34,98,21,22.0,11,5,46.0,20,18,90.0,124,41,34.0,3,1,34.0,2,2,100.0
Heavyweight Bout,False,False, 2, KO/TKO, Punch to Head At Distance, Alistair Overeem, Andrei Arlovski, Andrei Arlovski, Alistair Overeem,0,0,0,0,0,0,0,33,16,48,25,10,40.0,3,3,100.0,5,3,60.0,29,13,45.0,2,1,50.0,2,2,100.0,1,1,1,100,0,1,0,30,23,76,19,13,69.0,9,8,89.0,2,2,100.0,10,9,90.0,5,4,80.0,15,10,67.0
Heavyweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Antonio Silva, Stefan Struve, Antonio Silva, Stefan Struve,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0,0,0,1,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,13,81,15,12,80.0,1,1,100.0,0,0,0,1,1,100.0,3,1,34.0,12,11,92.0
Welterweight Bout,False,False, 2, Submission, Rear Naked Choke, Albert Tumenov, Gunnar Nelson, Albert Tumenov, Gunnar Nelson,0,0,0,0,0,0,0,41,23,56,27,9,34.0,12,12,100.0,2,2,100.0,37,21,57.0,3,2,67.0,1,0,0.0,0,2,2,100,1,4,0,44,29,65,39,25,65.0,5,4,80.0,0,0,0,29,15,52.0,1,0,0.0,14,14,100.0
Women's Bantamweight Bout,False,False, 1, KO/TKO, Knee to Body In Clinch, Germaine de Randamie, Anna Elmose, Anna Elmose, Germaine de Randamie,0,0,5,0,0,0,0,10,6,60,3,2,67.0,5,2,40.0,2,2,100.0,4,2,50.0,6,4,67.0,0,0,0,1,0,0,0,0,1,0,29,18,62,19,9,48.0,10,9,90.0,0,0,0,16,7,44.0,13,11,85.0,0,0,0
Light Heavyweight Bout,False,False, 2, Submission, Rear Naked Choke, Nikita Krylov, Francimar Barroso, Francimar Barroso, Nikita Krylov,0,2,7,28,0,0,0,36,22,61,31,17,55.0,3,3,100.0,2,2,100.0,24,12,50.0,10,9,90.0,2,1,50.0,0,0,2,0,1,2,1,88,58,65,55,33,60.0,24,18,75.0,9,7,78.0,38,12,32.0,30,27,90.0,20,19,95.0
Women's Strawweight Bout,False,False, 3, Decision - Unanimous,, Karolina Kowalkiewicz, Heather Jo Clark, Heather Jo Clark, Karolina Kowalkiewicz,0,0,15,0,0,0,1,152,70,46,115,46,40.0,28,17,61.0,9,7,78.0,139,61,44.0,13,9,70.0,0,0,0,0,0,1,0,0,1,0,261,119,45,216,87,41.0,33,22,67.0,12,10,84.0,212,85,41.0,49,34,70.0,0,0,0
Lightweight Bout,False,False, 3, Decision - Unanimous,, Rustam Khabilov, Chris Wade, Chris Wade, Rustam Khabilov,1,0,0,0,0,1,1,58,25,43,38,11,29.0,11,7,64.0,9,7,78.0,52,22,43.0,3,3,100.0,3,0,0.0,0,6,9,66,0,4,1,73,50,68,59,39,67.0,3,2,67.0,11,9,82.0,40,20,50.0,3,2,67.0,30,28,94.0
Middleweight Bout,False,False, 2, KO/TKO, Kick to Head At Distance, Magnus Cedenblad, Garreth McLellan, Garreth McLellan, Magnus Cedenblad,0,0,0,0,0,0,0,33,12,36,17,2,12.0,4,1,25.0,12,9,75.0,33,12,37.0,0,0,0,0,0,0,1,0,0,0,0,0,0,44,21,47,36,16,45.0,8,5,63.0,0,0,0,35,16,46.0,9,5,56.0,0,0,0
Lightweight Bout,False,False, 3, Decision - Split,, Jon Tuck, Josh Emmett, Jon Tuck, Josh Emmett,0,0,1,0,0,0,0,180,53,29,150,29,20.0,16,12,75.0,14,12,86.0,174,52,30.0,5,1,20.0,1,0,0.0,0,0,2,0,0,0,0,152,54,35,114,32,29.0,23,11,48.0,15,11,74.0,151,54,36.0,1,0,0.0,0,0,0
Lightweight Bout,False,False, 3, KO/TKO, Punch to Head At Distance, Yan Cabral, Reza Madadi, Yan Cabral, Reza Madadi,0,1,10,10,0,2,0,85,32,37,70,19,28.0,13,11,85.0,2,2,100.0,62,14,23.0,22,17,78.0,1,1,100.0,0,1,2,50,0,0,0,68,27,39,59,18,31.0,8,8,100.0,1,1,100.0,49,14,29.0,19,13,69.0,0,0,0
Flyweight Bout,False,False, 3, Decision - Unanimous,, Kyoji Horiguchi, Neil Seery, Neil Seery, Kyoji Horiguchi,0,0,5,0,1,0,0,101,40,39,91,36,40.0,8,2,25.0,2,2,100.0,91,34,38.0,5,3,60.0,5,3,60.0,2,6,8,75,0,6,0,145,72,49,108,44,41.0,27,18,67.0,10,10,100.0,109,50,46.0,15,12,80.0,21,10,48.0
Welterweight Bout,False,False, 3, Decision - Unanimous,, Leon Edwards, Dominic Waters, Dominic Waters, Leon Edwards,0,4,12,33,0,3,0,16,3,18,12,1,9.0,2,2,100.0,2,0,0.0,15,3,20.0,1,0,0.0,0,0,0,0,2,3,66,1,7,0,35,24,68,28,17,61.0,7,7,100.0,0,0,0,17,8,48.0,1,1,100.0,17,15,89.0
Flyweight Bout,False,False, 2, Submission, Rear Naked Choke, Ulka Sasaki, Willie Gates, Willie Gates, Ulka Sasaki,0,0,0,0,0,0,0,32,13,40,25,7,29.0,6,5,84.0,1,1,100.0,22,9,41.0,6,1,17.0,4,3,75.0,0,4,10,40,1,5,0,23,7,30,20,5,25.0,3,2,67.0,0,0,0,18,3,17.0,0,0,0,5,4,80.0
UFC Interim Light Heavyweight Title Bout,False,False, 5, Decision - Unanimous,, Jon Jones, Ovince Saint Preux, Ovince Saint Preux, Jon Jones,0,0,0,0,0,0,0,160,57,35,113,29,26.0,23,12,53.0,24,16,67.0,143,46,33.0,17,11,65.0,0,0,0,0,3,5,60,0,4,0,157,105,66,63,35,56.0,29,24,83.0,65,46,71.0,120,76,64.0,18,11,62.0,19,18,95.0
UFC Flyweight Title Bout,False,False, 1, KO/TKO, Knees to Body In Clinch, Demetrious Johnson, Henry Cejudo, Henry Cejudo, Demetrious Johnson,0,1,1,100,0,0,0,17,6,35,7,1,15.0,5,3,60.0,5,2,40.0,9,2,23.0,8,4,50.0,0,0,0,1,0,0,0,0,0,0,33,21,63,19,10,53.0,11,9,82.0,3,2,67.0,14,6,43.0,17,15,89.0,2,0,0.0
Lightweight Bout,False,False, 3, Decision - Unanimous,, Anthony Pettis, Edson Barboza, Anthony Pettis, Edson Barboza,0,0,3,0,0,0,0,131,48,36,116,35,31.0,7,5,72.0,8,8,100.0,131,48,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,73,44,101,27,27.0,26,15,58.0,37,31,84.0,163,73,45.0,1,0,0.0,0,0,0
Middleweight Bout,False,False, 3, Decision - Unanimous,, Robert Whittaker, Rafael Natal, Rafael Natal, Robert Whittaker,0,0,4,0,0,0,0,137,62,45,95,36,38.0,15,4,27.0,27,22,82.0,135,61,46.0,2,1,50.0,0,0,0,0,0,0,0,0,0,0,176,89,50,129,51,40.0,11,10,91.0,36,28,78.0,166,83,50.0,4,2,50.0,6,4,67.0
Featherweight Bout,False,False, 2, KO/TKO, Kick to Head At Distance Jumping Switch Kick, Yair Rodriguez, Andre Fili, Andre Fili, Yair Rodriguez,0,1,2,50,0,0,0,31,11,35,24,6,25.0,5,4,80.0,2,1,50.0,27,9,34.0,0,0,0,4,2,50.0,1,2,2,100,0,3,0,53,25,47,37,11,30.0,9,7,78.0,7,7,100.0,37,16,44.0,0,0,0,16,9,57.0
Flyweight Bout,False,False, 3, Decision - Unanimous,, Sergio Pettis, Chris Kelades, Chris Kelades, Sergio Pettis,0,1,7,14,0,1,0,112,35,31,93,22,24.0,12,7,59.0,7,6,86.0,94,21,23.0,16,12,75.0,2,2,100.0,0,2,10,20,0,2,1,112,61,54,103,53,52.0,2,1,50.0,7,7,100.0,100,53,53.0,11,7,64.0,1,1,100.0
Welterweight Bout,False,False, 3, Decision - Unanimous,, Danny Roberts, Dominique Steele, Dominique Steele, Danny Roberts,1,6,14,42,0,1,0,75,34,45,55,20,37.0,17,11,65.0,3,3,100.0,33,12,37.0,36,19,53.0,6,3,50.0,0,0,0,0,0,0,0,112,60,53,78,34,44.0,30,23,77.0,4,3,75.0,68,27,40.0,33,23,70.0,11,10,91.0
Women's Strawweight Bout,False,False, 3, Decision - Unanimous,, Carla Esparza, Juliana Lima, Juliana Lima, Carla Esparza,0,0,3,0,0,1,2,43,26,60,34,18,53.0,8,7,88.0,1,1,100.0,17,7,42.0,6,5,84.0,20,14,70.0,0,5,7,71,0,4,0,42,28,66,27,15,56.0,15,13,87.0,0,0,0,13,5,39.0,2,1,50.0,27,22,82.0
Lightweight Bout,False,False, 3, Decision - Unanimous,, Glaico Franca, James Vick, Glaico Franca, James Vick,0,4,10,40,0,3,0,114,39,34,89,20,23.0,10,7,70.0,15,12,80.0,112,38,34.0,0,0,0,2,1,50.0,0,0,0,0,0,0,0,172,94,54,157,82,53.0,12,9,75.0,3,3,100.0,171,94,55.0,1,0,0.0,0,0,0
Heavyweight Bout,False,False, 1, KO/TKO, Punches to Head On Ground, Walt Harris, Cody East, Cody East, Walt Harris,0,0,0,0,0,0,0,62,26,41,47,16,35.0,6,3,50.0,9,7,78.0,53,22,42.0,9,4,45.0,0,0,0,1,0,0,0,0,0,0,58,31,53,51,25,50.0,5,4,80.0,2,2,100.0,30,13,44.0,8,4,50.0,20,14,70.0
Light Heavyweight Bout,False,False, 1, Submission, Arm Triangle From Half Guard, Marcos Rogerio de Lima, Clint Hester, Clint Hester, Marcos Rogerio de Lima,0,0,0,0,0,0,0,5,0,0,5,0,0.0,0,0,0,0,0,0,5,0,0.0,0,0,0,0,0,0,1,0,0,0,1,3,0,41,29,70,35,24,69.0,2,1,50.0,4,4,100.0,13,7,54.0,0,0,0,28,22,79.0
Lightweight Bout,False,False, 3, Decision - Unanimous,, Efrain Escudero, Kevin Lee, Efrain Escudero, Kevin Lee,0,1,7,14,0,0,0,114,70,61,69,34,50.0,18,13,73.0,27,23,86.0,96,53,56.0,18,17,95.0,0,0,0,0,1,4,25,1,1,0,160,64,40,134,44,33.0,23,17,74.0,3,3,100.0,135,44,33.0,12,12,100.0,13,8,62.0
Light Heavyweight Bout,False,False, 1, KO/TKO, Punch to Head In Clinch, Glover Teixeira, Rashad Evans, Rashad Evans, Glover Teixeira,0,0,0,0,0,0,0,14,7,50,14,7,50.0,0,0,0,0,0,0,11,5,46.0,3,2,67.0,0,0,0,1,0,0,0,0,0,0,17,6,35,16,5,32.0,1,1,100.0,0,0,0,12,3,25.0,2,2,100.0,3,1,34.0
Women's Strawweight Bout,False,False, 3, Decision - Unanimous,, Rose Namajunas, Tecia Torres, Tecia Torres, Rose Namajunas,0,0,1,0,0,0,0,121,61,50,74,20,28.0,18,13,73.0,29,28,97.0,108,51,48.0,12,9,75.0,1,1,100.0,0,2,4,50,0,0,0,156,46,29,126,27,22.0,25,15,60.0,5,4,80.0,145,41,29.0,3,0,0.0,8,5,63.0
Catch Weight Bout,False,False, 2, KO/TKO, Punches to Head From Back Control, Khabib Nurmagomedov, Darrell Horcher, Darrell Horcher, Khabib Nurmagomedov,0,0,0,0,0,0,0,27,6,22,23,4,18.0,3,1,34.0,1,1,100.0,26,5,20.0,0,0,0,1,1,100.0,0,2,3,66,0,7,0,105,75,71,103,73,71.0,0,0,0,2,2,100.0,10,3,30.0,1,1,100.0,94,71,76.0
Featherweight Bout,False,False, 3, Decision - Unanimous,, Cub Swanson, Hacran Dias, Hacran Dias, Cub Swanson,0,0,1,0,0,0,0,131,55,41,103,37,36.0,12,5,42.0,16,13,82.0,126,54,43.0,3,1,34.0,2,0,0.0,2,0,0,0,0,1,0,148,83,56,92,36,40.0,28,23,83.0,28,24,86.0,108,53,50.0,2,2,100.0,38,28,74.0
Lightweight Bout,False,False, 2, Submission, Rear Naked Choke, Beneil Dariush, Michael Chiesa, Beneil Dariush, Michael Chiesa,0,1,4,25,0,0,0,53,27,50,33,11,34.0,7,4,58.0,13,12,93.0,47,24,52.0,6,3,50.0,0,0,0,0,1,2,50,2,1,0,52,11,21,45,7,16.0,4,1,25.0,3,3,100.0,47,9,20.0,5,2,40.0,0,0,0
Women's Bantamweight Bout,False,False, 3, Decision - Split,, Bethe Correia, Raquel Pennington, Bethe Correia, Raquel Pennington,0,0,1,0,0,0,0,171,66,38,137,45,33.0,23,13,57.0,11,8,73.0,141,47,34.0,30,19,64.0,0,0,0,0,0,4,0,0,0,0,130,75,57,96,45,47.0,26,22,85.0,8,8,100.0,89,46,52.0,41,29,71.0,0,0,0
Welterweight Bout,False,False, 1, KO/TKO, Punch to Head In Clinch, Court McGee, Santiago Ponzinibbio, Court McGee, Santiago Ponzinibbio,0,0,4,0,0,0,0,95,35,36,78,26,34.0,10,4,40.0,7,5,72.0,94,34,37.0,1,1,100.0,0,0,0,1,0,0,0,0,0,0,73,38,52,65,34,53.0,4,0,0.0,4,4,100.0,58,31,54.0,10,4,40.0,5,3,60.0
Welterweight Bout,False,False, 2, Submission, Rear Naked Choke, Randy Brown, Michael Graves, Randy Brown, Michael Graves,0,0,1,0,1,0,0,19,10,52,16,7,44.0,3,3,100.0,0,0,0,11,3,28.0,7,6,86.0,1,1,100.0,0,2,7,28,1,2,0,22,11,50,20,10,50.0,1,1,100.0,1,0,0.0,3,0,0.0,2,2,100.0,17,9,53.0
Bantamweight Bout,False,False, 1, KO/TKO, Punches to Head In Clinch, John Dodson, Manvel Gamburyan, Manvel Gamburyan, John Dodson,0,0,0,0,0,0,0,2,2,100,1,1,100.0,0,0,0,1,1,100.0,2,2,100.0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,16,84,18,15,84.0,1,1,100.0,0,0,0,6,5,84.0,10,9,90.0,3,2,67.0
Middleweight Bout,False,False, 3, Decision - Unanimous,, Oluwale Bamgbose, Cezar Ferreira, Oluwale Bamgbose, Cezar Ferreira,1,0,0,0,0,0,0,51,20,39,41,13,32.0,5,3,60.0,5,4,80.0,36,12,34.0,0,0,0,15,8,54.0,0,3,5,60,0,0,0,58,26,44,47,21,45.0,4,1,25.0,7,4,58.0,27,8,30.0,0,0,0,31,18,59.0
Welterweight Bout,False,False, 3, KO/TKO, Knee to Head In Clinch, Elizeu Zaleski dos Santos, Omari Akhmedov, Omari Akhmedov, Elizeu Zaleski dos Santos,0,3,7,42,1,1,0,105,36,34,90,28,32.0,11,6,55.0,4,2,50.0,86,22,26.0,14,11,79.0,5,3,60.0,0,0,3,0,1,2,1,146,72,49,119,50,43.0,23,18,79.0,4,4,100.0,100,35,35.0,45,36,80.0,1,1,100.0
Heavyweight Bout,False,False, 5, Decision - Unanimous,, Ben Rothwell, Junior Dos Santos, Ben Rothwell, Junior Dos Santos,0,0,0,0,0,0,0,212,77,36,179,51,29.0,12,7,59.0,21,19,91.0,210,75,36.0,2,2,100.0,0,0,0,0,0,0,0,0,0,0,247,157,63,147,65,45.0,100,92,92.0,0,0,0,246,156,64.0,1,1,100.0,0,0,0
Heavyweight Bout,False,False, 1, KO/TKO, Punches to Head At Distance, Derrick Lewis, Gabriel Gonzaga, Gabriel Gonzaga, Derrick Lewis,0,1,6,16,0,2,0,7,5,71,5,3,60.0,1,1,100.0,1,1,100.0,2,0,0.0,2,2,100.0,3,3,100.0,1,0,0,0,0,0,0,25,17,68,20,15,75.0,5,2,40.0,0,0,0,12,7,59.0,11,9,82.0,2,1,50.0
Heavyweight Bout,False,False, 2, TKO - Doctor's Stoppage, Eye Injury, Francis Ngannou, Curtis Blaydes, Curtis Blaydes, Francis Ngannou,0,2,6,33,0,1,0,58,24,41,46,16,35.0,2,1,50.0,10,7,70.0,54,21,39.0,4,3,75.0,0,0,0,0,0,0,0,0,0,0,84,36,42,78,32,42.0,4,2,50.0,2,2,100.0,79,31,40.0,5,5,100.0,0,0,0
Heavyweight Bout,False,False, 3, Decision - Unanimous,, Tim Johnson, Marcin Tybura, Marcin Tybura, Tim Johnson,0,1,3,33,0,1,0,101,48,47,78,30,39.0,19,14,74.0,4,4,100.0,89,37,42.0,12,11,92.0,0,0,0,0,0,0,0,0,0,0,127,45,35,113,34,31.0,9,6,67.0,5,5,100.0,111,33,30.0,16,12,75.0,0,0,0
Light Heavyweight Bout,False,False, 3, Decision - Unanimous,, Igor Pokrajac, Jan Blachowicz, Igor Pokrajac, Jan Blachowicz,0,0,1,0,0,3,1,73,35,47,70,33,48.0,3,2,67.0,0,0,0,46,15,33.0,17,11,65.0,10,9,90.0,0,4,4,100,0,4,0,153,98,64,118,70,60.0,35,28,80.0,0,0,0,48,23,48.0,40,29,73.0,65,46,71.0
Women's Strawweight Bout,False,False, 3, Decision - Unanimous,, Maryna Moroz, Cristina Stanciu, Cristina Stanciu, Maryna Moroz,0,1,1,100,2,0,0,76,39,51,46,15,33.0,20,14,70.0,10,10,100.0,63,30,48.0,4,1,25.0,9,8,89.0,0,1,3,33,1,3,0,85,35,41,62,18,30.0,21,16,77.0,2,1,50.0,71,22,31.0,0,0,0,14,13,93.0
Welterweight Bout,False,False, 3, Decision - Unanimous,, Nicolas Dalby, Zak Cummings, Nicolas Dalby, Zak Cummings,0,0,1,0,0,0,0,150,57,38,103,29,29.0,24,11,46.0,23,17,74.0,139,52,38.0,9,4,45.0,2,1,50.0,1,1,3,33,1,3,0,158,56,35,132,38,29.0,19,11,58.0,7,7,100.0,150,51,34.0,1,1,100.0,7,4,58.0
Bantamweight Bout,False,False, 1, KO/TKO, Punches to Head On Ground Submission To Strikes, Ian Entwistle, Alejandro Perez, Ian Entwistle, Alejandro Perez,0,0,1,0,1,0,0,2,0,0,2,0,0.0,0,0,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,67,48,71,67,48,72.0,0,0,0,0,0,0,4,2,50.0,0,0,0,63,46,74.0
Lightweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Mairbek Taisumov, Damir Hadzovic, Damir Hadzovic, Mairbek Taisumov,0,0,0,0,0,0,0,43,11,25,40,9,23.0,2,1,50.0,1,1,100.0,42,11,27.0,1,0,0.0,0,0,0,1,0,0,0,0,0,0,59,25,42,48,18,38.0,5,1,20.0,6,6,100.0,59,25,43.0,0,0,0,0,0,0
Bantamweight Bout,False,False, 1, Submission, Rear Naked Choke, Filip Pejic, Damian Stasiak, Filip Pejic, Damian Stasiak,0,0,0,0,0,1,0,2,0,0,2,0,0.0,0,0,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,2,2,100,1,3,0,3,2,66,2,1,50.0,0,0,0,1,1,100.0,1,1,100.0,0,0,0,2,1,50.0
Featherweight Bout,False,False, 3, Decision - Split,, Rob Whiteford, Lucas Martins, Rob Whiteford, Lucas Martins,0,1,4,25,0,1,0,99,45,45,64,20,32.0,20,14,70.0,15,11,74.0,92,41,45.0,7,4,58.0,0,0,0,0,0,0,0,0,0,0,87,30,34,69,20,29.0,10,4,40.0,8,6,75.0,84,29,35.0,3,1,34.0,0,0,0
Heavyweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Jared Cannonier, Cyril Asker, Cyril Asker, Jared Cannonier,0,0,3,0,0,0,0,39,13,33,35,10,29.0,4,3,75.0,0,0,0,38,12,32.0,1,1,100.0,0,0,0,1,0,0,0,0,1,0,34,27,79,22,15,69.0,9,9,100.0,3,3,100.0,24,17,71.0,4,4,100.0,6,6,100.0
Middleweight Bout,False,False, 3, Decision - Unanimous,, Alessio Di Chirico, Bojan Velickovic, Alessio Di Chirico, Bojan Velickovic,0,2,3,66,0,1,0,148,65,43,111,40,37.0,25,16,64.0,12,9,75.0,142,61,43.0,3,2,67.0,3,2,67.0,0,1,5,20,1,1,1,135,45,33,89,16,18.0,17,9,53.0,29,20,69.0,131,43,33.0,4,2,50.0,0,0,0
Heavyweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Mark Hunt, Frank Mir, Frank Mir, Mark Hunt,0,0,3,0,0,0,0,10,1,10,10,1,10.0,0,0,0,0,0,0,10,1,10.0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,8,42,14,6,43.0,2,1,50.0,3,1,34.0,19,8,43.0,0,0,0,0,0,0
Welterweight Bout,False,False, 3, KO/TKO, Punches to Head From Mount, Hector Lombard, Neil Magny, Hector Lombard, Neil Magny,2,1,3,33,0,2,0,79,60,75,71,54,77.0,3,2,67.0,5,4,80.0,21,12,58.0,9,7,78.0,49,41,84.0,0,1,2,50,2,5,0,197,148,75,181,133,74.0,13,12,93.0,3,3,100.0,69,32,47.0,16,16,100.0,112,100,90.0
Lightweight Bout,False,False, 3, Submission, Rear Naked Choke, Jake Matthews, Johnny Case, Johnny Case, Jake Matthews,0,1,6,16,0,1,0,100,35,35,66,15,23.0,26,14,54.0,8,6,75.0,86,27,32.0,6,2,34.0,8,6,75.0,0,0,4,0,2,2,0,114,36,31,81,15,19.0,19,10,53.0,14,11,79.0,100,30,30.0,9,4,45.0,5,2,40.0
Middleweight Bout,False,False, 3, KO/TKO, Punches to Head From Half Guard, Daniel Kelly, Antonio Carlos Junior, Antonio Carlos Junior, Daniel Kelly,0,2,9,22,0,2,0,62,33,53,47,22,47.0,12,9,75.0,3,2,67.0,52,26,50.0,4,2,50.0,6,5,84.0,0,0,1,0,0,1,0,88,37,42,80,30,38.0,3,3,100.0,5,4,80.0,37,8,22.0,5,3,60.0,46,26,57.0
Light Heavyweight Bout,False,False, 1, KO/TKO, Punch to Head In Clinch, James Te Huna, Steve Bosse, James Te Huna, Steve Bosse,0,0,0,0,0,0,0,7,1,14,4,0,0.0,3,1,34.0,0,0,0,7,1,15.0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,5,41,8,3,38.0,3,1,34.0,1,1,100.0,12,5,42.0,0,0,0,0,0,0
Women's Strawweight Bout,False,False, 3, Decision - Unanimous,, Bec Rawlings, Seohee Ham, Seohee Ham, Bec Rawlings,0,0,2,0,1,0,1,247,92,37,202,61,31.0,38,27,72.0,7,4,58.0,231,81,36.0,11,7,64.0,5,4,80.0,0,1,3,33,0,1,0,183,77,42,156,61,40.0,27,16,60.0,0,0,0,164,63,39.0,11,6,55.0,8,8,100.0
Welterweight Bout,False,False, 1, KO/TKO, Elbow to Head In Clinch, Brendan O'Reilly, Alan Jouban, Brendan O'Reilly, Alan Jouban,0,1,1,100,0,2,0,17,8,47,12,3,25.0,4,4,100.0,1,1,100.0,9,3,34.0,7,5,72.0,1,0,0.0,1,0,0,0,0,0,0,40,32,80,30,22,74.0,9,9,100.0,1,1,100.0,15,11,74.0,19,16,85.0,6,5,84.0
Featherweight Bout,False,False, 1, Submission, Guillotine Choke From Mount, Dan Hooker, Mark Eddiva, Mark Eddiva, Dan Hooker,0,0,2,0,0,0,0,8,4,50,4,1,25.0,3,2,67.0,1,1,100.0,8,4,50.0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,5,55,5,2,40.0,2,2,100.0,2,1,50.0,8,4,50.0,1,1,100.0,0,0,0
Women's Bantamweight Bout,False,False, 3, Decision - Unanimous,, Leslie Smith, Rin Nakai, Rin Nakai, Leslie Smith,0,3,13,23,1,5,0,92,31,33,81,26,33.0,9,4,45.0,2,1,50.0,80,22,28.0,12,9,75.0,0,0,0,0,0,0,0,0,0,0,181,62,34,167,51,31.0,14,11,79.0,0,0,0,176,59,34.0,5,3,60.0,0,0,0
Welterweight Bout,False,False, 3, Decision - Unanimous,, Richard Walsh, Viscardi Andrade, Richard Walsh, Viscardi Andrade,1,1,3,33,0,0,0,130,46,35,108,37,35.0,15,4,27.0,7,5,72.0,112,33,30.0,4,3,75.0,14,10,72.0,0,5,8,62,1,3,0,88,38,43,77,30,39.0,8,5,63.0,3,3,100.0,76,31,41.0,4,1,25.0,8,6,75.0
Lightweight Bout,False,False, 3, Decision - Split,, Ross Pearson, Chad Laprise, Chad Laprise, Ross Pearson,0,0,0,0,0,0,0,214,78,36,194,63,33.0,14,9,65.0,6,6,100.0,212,78,37.0,2,0,0.0,0,0,0,0,0,1,0,0,0,0,155,52,33,108,21,20.0,22,10,46.0,25,21,84.0,155,52,34.0,0,0,0,0,0,0
Lightweight Bout,False,False, 3, Decision - Unanimous,, Alan Patrick, Damien Brown, Damien Brown, Alan Patrick,0,1,3,33,1,2,0,25,15,60,21,13,62.0,3,2,67.0,1,0,0.0,11,6,55.0,2,1,50.0,12,8,67.0,0,5,7,71,1,10,0,39,25,64,36,23,64.0,2,1,50.0,1,1,100.0,12,7,59.0,0,0,0,27,18,67.0
